NM_MUNICIPIO_PROPRIEDADE;SG_UF_PROPRIEDADE;NM_CULTURA_GLOBAL;NR_AREA_TOTAL;NR_PRODUTIVIDADE_ESTIMADA;NR_PRODUTIVIDADE_SEGURADA;NivelDeCobertura;VL_LIMITE_GARANTIA;VL_PREMIO_LIQUIDO;PE_TAXA;VL_SUBVENCAO_FEDERAL;ANO_APOLICE;CD_GEOCMU;VALOR_INDENIZAÇÃO;EVENTO_PREPONDERANTE
Pilar do Sul;SP;Ameixa;4;30000;30000;1,00;79920;11041,75;0,1382;6625,05;2010;3537909;63136,80; GRANIZO
Pilar do Sul;SP;Caqui;1;30000;30000;1,00;64800;7315,92;0,1129;4389,55;2010;3537909;41666,40; GRANIZO
Monte Alegre dos Campos;RS;Maçã;10;29750;29750;1,00;225435;21201,96;0,0940;12721,18;2010;4312377;126626,05; GRANIZO
Missal;PR;Soja;37;2553;1276,8;0,50;35464,13;1189,71;0,0335;594,86;2010;4116059;5116,89; SECA
Vacaria;RS;Maçã;6;40000;40000;1,00;168000;15800,24;0,0940;9480,14;2010;4322509;106411,20; GRANIZO
Bento Gonçalves;RS;Uva;3;28625;28625;1,00;145750;3257,48;0,0223;1954,49;2010;4302105;91,88; GRANIZO
Monte Alegre dos Campos;RS;Maçã;2;20000;20000;1,00;27500;2586,34;0,0940;1551,8;2010;4312377;7823,80; GRANIZO
Monte Alegre dos Campos;RS;Uva;2;20000;20000;1,00;26280;1043,3;0,0397;625,98;2010;4312377;2073,94; GRANIZO
Fagundes Varela;RS;Uva;5;16500;16500;1,00;60360;2207,16;0,0366;1324,3;2010;4307864;341,25; GRANIZO
Monte Alegre dos Campos;RS;Maçã;4;25000;25000;1,00;70000;6583,43;0,0940;3950,06;2010;4312377;38245,20; GRANIZO
Bento Gonçalves;RS;Uva;3;15750;15750;1,00;23883,2;948,15;0,0397;568,89;2010;4302105;452,05; GRANIZO
Gaúcha do Norte;MT;Soja;331;3040,2;2128,2;0,70;465202,06;19934,4;0,0429;9967,2;2010;5103858;17557,45; CHUVA EXCESSIVA
Garibaldi;RS;Uva;3;20000;20000;1,00;33120;1211,08;0,0366;726,65;2010;4308607;598,92; GRANIZO
Garibaldi;RS;Uva;4;20000;20000;1,00;49680;1816,61;0,0366;1089,97;2010;4308607;603,52; GRANIZO
Monte Alegre dos Campos;RS;Pêssego;2;23000;23000;1,00;59800;3091,66;0,0517;1855;2010;4312377;20556,25; GRANIZO
Cotiporã;RS;Uva;1;17000;17000;1,00;16200;592,36;0,0366;355,42;2010;4305959;114,75; GRANIZO
Santa Tereza;RS;Uva;2;24000;24000;1,00;31200;1238,63;0,0397;743,18;2010;4317251;10061,37; GRANIZO
Aracê;ES;Tomate;1;77000;77000;1,00;40656;1180,65;0,0290;472,26;2010;3201902;2333,66; GRANIZO
Vacaria;RS;Maçã;8;37538,46;37538,46;1,00;203580;19146,49;0,0940;11487,89;2010;4322509;94190,83; GRANIZO
Monte Alegre dos Campos;RS;Maçã;4;38666,67;38666,67;1,00;140688;13231,58;0,0940;7938,95;2010;4312377;82438,28; GRANIZO
Bento Gonçalves;RS;Uva;6;31250;31250;1,00;244800;5471,23;0,0223;3282,74;2010;4302105;13718,88; GRANIZO
Monte Belo do Sul;RS;Uva;3;21900;21900;1,00;47626,8;1741,54;0,0366;1044,92;2010;4312385;2102,87; GRANIZO
Monte Belo do Sul;RS;Uva;3;23860;23860;1,00;77552,4;2835,8;0,0366;1701,48;2010;4312385;1714,00; GRANIZO
Fagundes Varela;RS;Uva;3;20000;20000;1,00;37500;1371,23;0,0366;822,74;2010;4307864;5250,00; QUEDA DE PARREIRAL
Fagundes Varela;RS;Uva;9;18333,33;18333,33;1,00;134640;4923,29;0,0366;2953,97;2010;4307864;1175,30; GRANIZO
Garibaldi;RS;Uva;2;22333,33;22333,33;1,00;33696;1232,15;0,0366;739,29;2010;4308607;1357,20; GRANIZO
Monte Belo do Sul;RS;Uva;3;32000;32000;1,00;55033,2;2300,39;0,0418;1150,2;2007;4312385;686,14; GRANIZO
Palmas;PR;Maçã;12;35000;35000;1,00;198506;12035,38;0,0606;6017,69;2007;4117602;20288,93; GRANIZO
Monte Belo do Sul;RS;Uva;7;25000;25000;1,00;90346,3;3776,48;0,0418;1888,24;2007;4312385;20522,01; GRANIZO
Ituporanga;SC;Cebola;18;25000;25000;1,00;107050;6101,85;0,0570;2440,74;2007;4208500;7781,65; GRANIZO
Ituporanga;SC;Cebola;1;25000;25000;1,00;6300;359,1;0,0570;143,64;2007;4208500;337,68; GRANIZO
Jaboti;PR;Uva;1;10000;10000;1,00;8100;641,51;0,0792;320,76;2007;4111704;4341,60; GRANIZO
Dois Lajeados;RS;Uva;4;10000;10000;1,00;32900;1316,69;0,0400;658,35;2007;4306452;18248,46; GRANIZO
Venda Nova do Imigrante;ES;Tomate;1;70000;70000;1,00;32340;844,39;0,0261;337,76;2008;3205069;5203,51; GRANIZO
Ituporanga;SC;Cebola;5;30000;30000;1,00;28560;1627,92;0,0570;651,17;2007;4208500;2638,94; GRANIZO
Ituporanga;SC;Cebola;3;30000;30000;1,00;17340;823,65;0,0475;329,46;2007;4208500;1425,35; GRANIZO
Ituporanga;SC;Cebola;2;25000;25000;1,00;15000;855;0,0570;342;2007;4208500;2700,00; GRANIZO
Ituporanga;SC;Cebola;14;30000;30000;1,00;100800;5745,6;0,0570;2298,24;2007;4208500;13063,68; GRANIZO
Ituporanga;SC;Cebola;9;30000;30000;1,00;80640;4596,48;0,0570;1838,59;2007;4208500;11330,93; GRANIZO
Ituporanga;SC;Cebola;5;25000;25000;1,00;25000;1187,5;0,0475;475;2007;4208500;9109,50; GRANIZO
Ituporanga;SC;Cebola;6;25000;25000;1,00;49300;2810,1;0,0570;1124,04;2007;4208500;5409,51; GRANIZO
Ituporanga;SC;Cebola;12;25000;25000;1,00;60000;3420;0,0570;1368;2007;4208500;3891,00; GRANIZO
Ituporanga;SC;Cebola;10;25000;25000;1,00;80000;4560;0,0570;1824;2007;4208500;4495,00; GRANIZO
Ituporanga;SC;Cebola;16;25000;25000;1,00;50000;2850;0,0570;1140;2007;4208500;5680,00; GRANIZO
Ibiúna;SP;Pimentão;1;60000;60000;1,00;15000;633;0,0422;253,2;2007;3519709;4928,57; GRANIZO
Engenheiro Beltrão;PR;Soja;12;3000;1650;0,55;11880;373,13;0,0314;186,57;2007;4107504;5281,20; GRANIZO
Petrolândia;SC;Cebola;5;25000;25000;1,00;20000;1140;0,0570;456;2007;4212700;1512,00; GRANIZO
Ituporanga;SC;Cebola;10;25000;25000;1,00;30000;1425;0,0475;570;2007;4208500;3732,00; GRANIZO
Ituporanga;SC;Cebola;5;25000;25000;1,00;37750;2037,76;0,0540;815,1;2007;4208500;3835,30; GRANIZO
Bento Gonçalves;RS;Uva;3;16000;16000;1,00;40160;1678,69;0,0418;839,35;2007;4302105;10243,55; GRANIZO
Urupema;SC;Maçã;1;40000;40000;1,00;30800;3846,92;0,1249;1923,46;2007;4218954;5963,20; GRANIZO
